sala,Localização,Latitude,Longitude,nome da rede,banda,largura,canal,wifi mode,mimo,sinal,Velocidade de downlink,velocidade de uplink,latência,jitter,Room,Position,Is_Corredor
K,"dentro k04, p1",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-54 dBm,90 Mbps,180 Mbps,31 ms,5 ms,k04,p1,FALSE
K,"dentro k04, p1",,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),3x3,-40 dBm,30 Mbps,82 Mbps,39 ms,5 ms,k04,p1,FALSE
K,"dentro k04, p1",,,ufca-gov,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-57 dBm,127 Mbps,101 Mbps,32 ms,9 ms,k04,p1,FALSE
K,"dentro k04, p1",,,ufca-gov,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),3x3,-36 dBm,67 Mbps,84 Mbps,23 ms,0 ms,k04,p1,FALSE
K,"dentro k04, p2",,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),3x3,-36 dBm,11 Mbps,24 Mbps,28 ms,3 ms,k04,p2,FALSE
K,"dentro k04, p2",,,eduroam,5 GHz,40 MHz,100.0,802.11ac (Wi-Fi 5),3x3,-70 dBm,112 Mbps,52 Mbps,27 ms,1 ms,k04,p2,FALSE
K,"dentro k04, p2",,,ufca-gov,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),3x3,-36 dBm,71 Mbps,87 Mbps,23 ms,1 ms,k04,p2,FALSE
K,"dentro k04, p2",,,ufca-gov,5 GHz,40 MHz,100.0,802.11ac (Wi-Fi 5),3x3,-70 dBm,42 Mbps,12 Mbps,26 ms,2 ms,k04,p2,FALSE
K,"dentro k04, p3",,,eduroam,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),3x3,-31 dBm,56 Mbps,69 Mbps,25 ms,2 ms,k04,p3,FALSE
K,"dentro k04, p3",,,eduroam,5 GHz,40 MHz,60.0,802.11ac (Wi-Fi 5),3x3,-64 dBm,92 Mbps,94 Mbps,26 ms,1 ms,k04,p3,FALSE
K,"dentro k04, p3",,,ufca-gov,2.4 GHz,20 MHz,6.0,802.11n (Wi-Fi 4),3x3,-36 dBm,67 Mbps,72 Mbps,24 ms,1 ms,k04,p3,FALSE
K,"dentro k04, p3",,,ufca-gov,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-49 dBm,178 Mbps,164 Mbps,24 ms,1 ms,k04,p3,FALSE
K,"dentro k04, p4",,,eduroam,5 GHz,40 MHz,60.0,802.11ac (Wi-Fi 5),3x3,-68 dBm,67 Mbps,95 Mbps,26 ms,2 ms,k04,p4,FALSE
K,"dentro k04, p4",,,eduroam,2.4 GHz,20 MHz,100.0,802.11n (Wi-Fi 4),3x3,-29 dBm,39 Mbps,38 Mbps,60 ms,24 ms,k04,p4,FALSE
